RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200613-35073,1,0.9985,0.430275,0.5748,0.0,0.4186292226322318,0.4750857142857143,0.44015,0.0,0.3987793730464841,0.7783
20200221-3631,-1,-0.9074,-0.08041176470588235,0.0,0.0,0.3312025271329293,-0.15465384615384614,0.0,0.0,0.4136719726386422,0.5106
20200807-23831,-1,0.466,0.008878260869565216,0.0,0.0,0.30895925573014194,0.032247058823529406,0.0,0.0,0.38500750048866056,-0.6115
20200225-11304,-1,0.993,0.061954,0.0,0.0,0.3884718245690413,0.19272727272727272,0.3926,0.3926,0.6115609418691115,0.9193
20200901-85185,0,0.4337,0.01512528735632184,0.0,0.0,0.2619374788166548,0.01326111111111111,0.0,0.0,0.3263687163978954,0.5106
20200619-51051,0,-0.9601,-0.07875714285714285,0.0,0.0,0.29158180845246184,-0.1815,0.0,0.0,0.3786240989864926,0.5106
20200921-14373,-1,-0.5499,0.02243076923076923,0.0772,0.0772,0.24751032110450352,0.02637500000000001,0.07655,0.743,0.5472098334962557,-0.047599999999999976
20200831-48970,1,0.9991,0.1879859375,0.0,0.0,0.34563843548352097,0.3839,0.4019,0.0,0.3868591136229098,0.0
20200311-31074,0,-0.8844,-0.022582051282051277,0.0,0.0,0.3271826745082269,-0.024839285714285706,0.0,0.0,0.354410143094214,0.5106
20200729-34323,0,0.9986,0.11338627450980392,0.0,0.0,0.4107143394564406,0.15544545454545455,0.0,0.0,0.4578199798987484,0.4709
20200903-87281,0,0.9927,0.21303684210526314,0.0,0.0,0.3040582046262755,0.290925,0.23199999999999998,0.0,0.3039019609594515,0.0
